I1,R,DSB
Adams,Barnes,396.6628934
Adams,Benson,313.2500391
Adams,Billings,120.9666651
Adams,Bottineau,325.1553539
Adams,Bowman,68.7318997
Adams,Burke,298.4932122
Adams,Burleigh,183.2974247
Adams,Cass,415.3709928
Adams,Cavalier,433.1497483
Adams,Dickey,321.2419809
Adams,Divide,311.6376148
Adams,Dunn,137.6947121
Adams,Eddy,331.7962775
Adams,Emmons,175.6400016
Adams,Foster,315.5081459
Adams,GoldenValley,137.6775804
Adams,GrandForks,432.249718
Adams,Grant,76.61467343
Adams,Griggs,357.6950005
Adams,Hettinger,42.52706643
Adams,Kidder,232.0384008
Adams,LaMoure,325.7875537
Adams,Logan,197.5085478
Adams,McHenry,267.7836608
Adams,McIntosh,247.6450342
Adams,McKenzie,190.4783173
Adams,McLean,188.7212562
Adams,Mercer,131.5999186
Adams,Morton,148.4560509
Adams,Mountrail,234.9603085
Adams,Nelson,377.3338708
Adams,Oliver,146.1978293
Adams,Pembina,476.5501824
Adams,Pierce,287.7892626
Adams,Ramsey,372.7364912
Adams,Ransom,375.7080055
Adams,Renville,301.9269247
Adams,Richland,427.0607953
Adams,Rolette,354.858382
Adams,Sargent,375.5502424
Adams,Sheridan,216.2930729
Adams,Sioux,111.7693375
Adams,Slope,85.02436986
Adams,Stark,82.16657976
Adams,Steele,393.5146935
Adams,Stutsman,293.1672791
Adams,Towner,385.7811927
Adams,Traill,435.919939
Adams,Walsh,433.8462675
Adams,Ward,251.256623
Adams,Wells,269.0344171
Adams,Williams,263.6933139
Barnes,Benson,200.1876071
Barnes,Billings,442.9366952
Barnes,Bottineau,326.2826527
Barnes,Bowman,461.6267698
Barnes,Burke,429.3321816
Barnes,Burleigh,227.5018929
Barnes,Cass,20.03903538
Barnes,Cavalier,215.9197223
Barnes,Dickey,125.8945293
Barnes,Divide,493.833044
Barnes,Dunn,391.383861
Barnes,Eddy,138.0487926
Barnes,Emmons,235.0991161
Barnes,Foster,123.1703169
Barnes,GoldenValley,481.9340738
Barnes,GrandForks,109.7830668
Barnes,Grant,321.4698087
Barnes,Griggs,82.50437155
Barnes,Hettinger,382.7003961
Barnes,Kidder,181.0018673
Barnes,LaMoure,82.85730218
Barnes,Logan,199.5808806
Barnes,McHenry,289.1817117
Barnes,McIntosh,167.6977046
Barnes,McKenzie,457.3880663
Barnes,McLean,302.1401512
Barnes,Mercer,342.6223118
Barnes,Morton,254.8204933
Barnes,Mountrail,393.5167607
Barnes,Nelson,128.6098476
Barnes,Oliver,291.9223457
Barnes,Pembina,205.1027086
Barnes,Pierce,256.1772171
Barnes,Ramsey,172.8456055
Barnes,Ransom,52.96645808
Barnes,Renville,361.7502276
Barnes,Richland,83.77110381
Barnes,Rolette,270.066964
Barnes,Sargent,91.62529344
Barnes,Sheridan,226.5243388
Barnes,Sioux,289.7236379
Barnes,Slope,465.0193032
Barnes,Stark,396.4862886
Barnes,Steele,61.65558657
Barnes,Stutsman,103.9202112
Barnes,Towner,242.5163386
Barnes,Traill,68.90564303
Barnes,Walsh,161.4317668
Barnes,Ward,340.7949602
Barnes,Wells,187.7602314
Barnes,Williams,479.1114304
Benson,Billings,304.538848
Benson,Bottineau,126.1848344
Benson,Bowman,360.8434707
Benson,Burke,233.8689234
Benson,Burleigh,140.9663823
Benson,Cass,217.803569
Benson,Cavalier,119.9042959
Benson,Dickey,248.8303508
Benson,Divide,301.1502718
Benson,Dunn,243.3063425
Benson,Eddy,62.27709061
Benson,Emmons,233.4041563
Benson,Foster,81.39277817
Benson,GoldenValley,344.1236106
Benson,GrandForks,154.9761141
Benson,Grant,242.6699897
Benson,Griggs,118.2392484
Benson,Hettinger,280.9473081
Benson,Kidder,109.5608249
Benson,LaMoure,201.8875739
Benson,Logan,181.3452517
Benson,McHenry,96.41259851
Benson,McIntosh,218.8398584
Benson,McKenzie,293.0024086
Benson,McLean,144.4269981
Benson,Mercer,204.5873687
Benson,Morton,175.7399653
Benson,Mountrail,209.8074762
Benson,Nelson,91.92439283
Benson,Oliver,168.7281677
Benson,Pembina,166.4973031
Benson,Pierce,59.23793398
Benson,Ramsey,64.52645952
Benson,Ransom,227.284676
Benson,Renville,163.0333453
Benson,Richland,279.2481205
Benson,Rolette,79.89476804
Benson,Sargent,260.0287152
